Zip Code,City,County,State,Date,Average Home Value,Average Rent,Real Estate Market Health,Average Winter Temp (F),Average Summer Temp (F),Total Schools,Total Points of Interest,Population Growth,Sales Tax Rate,Walkability,Crime Risk,Total Score,,,,
68505,LINCOLN,Lancaster County,NE,11/8/2017,5,5,3.34,1,5,3.88,10,10,2,3.5,10,58.72,,,,
94105,SAN FRANCISCO,San Francisco County,CA,11/8/2017,1,1,2.22,5,4,7.39,30,10,0,4.55,0,65.16,,,,
37027,BRENTWOOD,Williamson County,TN,11/8/2017,1,1,4.38,3,5,6.92,10,5,0,0.15,15,51.45,,,,
48105,ANN ARBOR,Washtenaw County,MI,11/8/2017,1,3,4.24,1,5,4.89,10,10,2,3.45,10,54.58,,,,
99501,ANCHORAGE,Anchorage Municipality,AK,11/8/2017,3,3,3.97,0,4,1.33,10,10,5,2.1,5,47.4,,,,
3229,CONTOOCOOK,Merrimack County,NH,11/8/2017,3,5,2.81,0,4,5,10,10,5,2,15,61.81,,,,
33018,HIALEAH,Miami-Dade County,FL,11/8/2017,3,3,2.85,5,3,16.67,20,10,1,2.8,15,82.31,,,,
77802,BRYAN,Brazos County,TX,11/8/2017,5,5,0,5,3,2.58,10,5,1,1.75,5,43.33,,,,
52240,IOWA CITY,Johnson County,IA,11/8/2017,5,5,2.13,1,5,2.38,10,5,1,4,15,55.51,,,,
19126,PHILADELPHIA,Philadelphia County,PA,11/8/2017,5,5,0.72,3,5,4.39,20,10,2,4.95,0,60.06,,,,
98101,SEATTLE,King County,WA,11/8/2017,1,1,4.83,4,4,8.25,20,5,0,4.9,5,57.98,,,,
59718,BOZEMAN,Gallatin County,MT,11/8/2017,3,5,4.01,1,4,4.29,10,5,5,0.9,15,57.19,,,,
64109,KANSAS CITY,Jackson County,MO,11/8/2017,5,5,0,1,3,3.65,20,10,2,4.25,0,53.9,,,,
40502,LEXINGTON,Fayette County,KY,11/8/2017,1,3,4.49,3,5,2.39,10,10,2,1.4,5,47.28,,,,
80014,AURORA,Arapahoe County,CO,11/8/2017,3,3,4.55,3,5,2.59,20,5,3,2.2,5,56.34,,,,
59715,BOZEMAN,Gallatin County,MT,11/8/2017,3,5,0,1,4,0,10,5,5,0,15,48,,,,
54601,LA CROSSE,La Crosse County,WI,11/8/2017,2.5,2.5,2.48,0,5,5.17,10,10,2,2,15,56.65,,,,
22180,VIENNA,Fairfax County,VA,11/8/2017,1,1,2.84,3,5,5.97,20,10,2,3.7,15,69.51,,,,
7470,WAYNE,Passaic County,NJ,11/8/2017,1,3,1.08,1,5,4.49,20,10,1,0.85,15,62.4260201,,,,
22203,ARLINGTON,Arlington County,VA,11/9/2017,1,1,0.98,3,5,6.77,30,10,2,3.65,10,73.4,,,,
22314,ALEXANDRIA,Alexandria city,VA,11/9/2017,1,3,0,3,5,4.44,20,5,2,0.15,5,48.59,,,,
85018,PHOENIX,Maricopa County,AZ,11/09/17,1.0,3.0,1.43,5.0,1.0,3.47,20.0,5.0,1.0,1.8,5.0,47.71
85018,PHOENIX,Maricopa County,AZ,11/09/17,1.0,3.0,1.43,5.0,1.0,3.47,20.0,5.0,1.0,1.8,5.0,47.71
